Taxa,,,Biomass.avg.sp,"Brom 3","Brom 46","Brom 95","Brom 102","Brom 16","Brom 48","Brom 85","Brom 64","Brom 82","Brom 77","Brom 7","Brom 1","Brom 4","Brom 53","Brom 40","Brom 79","Brom A","Brom B","Brom C","Brom D","Brom E","Brom F","Brom G","Brom H","Brom I"
"Anopheles bellator","Anopheles sp A",,4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Aquatic mite sp A (Large orange)","Aquatic mite sp A (Large orange)",,6.6E-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aquatic mite sp B (small orange)","Aquatic mite sp B (small orange)",,6.6E-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aquatic mite sp C (black)","Aquatic mite sp C (black)",,6.6E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sciaridae sp.","Black-headed Diptera sp E",larvae,0.0001214286,0,3,2,0,105,14,1,0,0,1,0,10,0,9,0,1,0,0,0,0,0,0,0,0,0
"Sciaridae sp.","Black-headed Diptera sp E",pupae,0.0001214286,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloicus bromeliarum","Caddisfly sp A",,0.0003846,0,1,7,23,1,24,0,38,0,22,0,0,19,0,0,44,0,0,0,0,0,0,0,0,0
"Bezzia sp. 1","Ceratopogonid sp A (white)",,0.0001,0,0,0,0,2,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
"Bezzia sp. 2","Ceratopogonid sp B (red)",,0.0001,0,0,0,0,0,6,1,5,0,0,0,9,0,0,6,10,0,0,0,0,0,0,0,0,0
"Metriocnemus sp.","Chironomid sp H (grey)",,6.83333333333333E-05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenochironomus subgenus petalopholeus (leaf miner, green leaves or those that just fallen)","Chironomid sp J (the cobra)",,6.83333333333333E-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corethrellidae sp A (needs taxonomist, may be same as B/C/D)","Corethrellidae sp A",,6E-05,0,4,1,1,10,5,0,23,0,6,0,8,10,0,8,18,2,0,0,1,0,0,0,0,0
"Corethrellidae sp B","Corethrellidae sp B",,6E-05,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corethrellidae sp C","Corethrellidae sp C",,6E-05,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
